10th,12th,Diploma Marks,Overall CGPA,overall,Current backlogs,Score/800,Aptitude,English,Quantitative,Analytical ,Domain,Computer Fundamentals,Coding ,Written English,PLACED STATUS
94,78,0,7.6,68.50,0,487,56,80,40,47,0,0,0,0,Wipro Ltd./RL Institute of Nautical Science
83.2,81.17,0,8.2,74.50,0,480,47,47,40,53,0,33,0,25,None
87.68,83.16,0,7.2,64.50,0,356,24,33,7,33,0,13,0,41,None
82.88,76.66,0,7.9,71.50,0,520,56,47,47,73,0,53,0,43,Pinclick
93.6,68.66,0,8.88,81.30,0,532,53,53,27,80,0,60,0,63,Wipro Ltd./Infosys Ltd./RL Institute of Nautical Science
86.88,85.33,0,7.6,68.50,0,300,29,53,13,20,0,40,0,0,Wipro Ltd.
89,70,0,6.7,59.50,1,463,44,53,33,47,0,27,0,40,Wipro Ltd./Upskillz
92.16,75.55,0,7.1,63.50,0,455,40,40,33,47,0,53,0,14,TCS Ltd./RL Institute of Nautical Science
85.12,86.33,0,7.86,71.10,0,517,49,67,33,47,0,60,0,75,Wipro Ltd./RL Institute of Nautical Science
95.2,90.3,0,8.56,78.10,0,557,56,80,47,40,0,80,0,82,RL Institute of Nautical Science
84,70,0,5.6,48.50,3,363,24,20,27,27,0,40,14,30,Infosys Ltd./Skolar
80.48,69.79,0,5.6,75.00,2,415,36,53,27,27,0,20,0,0,RL Institute of Nautical Science
92,65,0,7.1,63.50,0,430,36,33,33,40,0,47,0,31,Chegg India/Infosys Ltd.
88.96,78.83,0,7.21,64.60,0,520,58,67,33,73,0,27,0,43,TCS Ltd./Wipro Ltd./RL Institute of Nautical Science
75.85,72.85,0,7.4,66.50,0,440,38,53,20,40,0,53,0,50,None
62.56,0,68.7,7.4,76.10,1,297,24,27,20,27,0,0,0,0,None
78,69.73,0,6.29,55.40,1,442,40,53,27,40,0,53,0,65,None
85,70,0,6.29,78.60,7,430,36,47,20,40,0,33,0,53,Intellipaat Software Solutions/RL Institute of Nautical Science
93,79,0,6.29,70.50,0,499,49,67,47,33,0,27,0,65,Skolar
