10th(%),12th(%),Diploma Marks ,Overall CGPA,Overall %,Current backlogs,Score/800,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamentals,Coding,Written English,COMPANY PLACED
89.92,82.33,0,8.13,73.84,0,635,67,80,33,87,65,73,94,74,Poornam Infovision/Techmahindra
89.12,87,0,8.57,78.19,0,604,67,73,40,87,50,73,33,74,Robosoft Technologies/TCS Ltd./Accenture
87.8,75.2,0,7.22,64.69,0,538,53,60,53,47,55,73,42,62,None
83.33,79.17,0,8.61,78.6,0,572,62,80,40,67,25,73,41,58,Robosoft Technologies Pvt. Ltd.
70,52,0,4.85,40.98,2,339,22,27,0,40,0,27,0,54,None
83.2,63.2,0,7.49,67.41,0,445,53,33,27,53,15,40,0,61,Cognizant/Infosys Ltd./Accord
85.44,87.5,0,8.33,75.83,0,536,53,53,80,27,60,67,41,69,Tata Elxsi/Wipro Ltd.
64,72,0,5.91,51.56,0,511,53,53,33,73,40,73,10,70,None
80,70,0,6.54,57.95,0,436,38,53,7,53,15,40,0,12,None
89.44,72,0,6.22,54.73,0,522,53,27,60,73,55,60,43,49,None
86.5,79.3,0,7.06,63.1,1,464,31,47,27,20,45,53,0,25,Iopex Technologies
90.72,85.5,0,9,82.54,0,613,67,40,80,80,55,80,78,61,TCS Ltd.
84.96,84,0,8.06,73.13,0,497,47,40,47,53,60,40,0,58,None
68,60,0,5.81,50.63,0,286,11,13,0,20,0,33,0,0,None
88,62,0,6.89,61.35,0,408,29,47,20,20,25,60,0,55,None
87.52,74.33,0,7.82,70.71,0,557,53,67,33,60,60,60,100,57,Cognizant
88.16,87.8,0,7.75,70.04,0,464,38,40,20,53,0,40,10,66,Poornam Infovision
66,78.66,0,7.24,64.88,0,494,51,67,7,80,25,33,0,44,None
82.08,83.83,0,7.49,67.39,0,541,56,60,33,73,55,60,10,64,Elcamino Software Pvt Ltd
95,69.6,0,8.01,72.64,0,539,60,47,60,73,0,53,10,66,Poornam Infovision/Proxelera/FIS India Pvt. Ltd. 
78.8,75,0,6.27,55.16,0,298,11,33,0,0,30,33,0,32,None
88,80,0,7.44,66.91,0,472,40,13,40,67,30,67,10,58,Poornam Infovision
86,72,0,6.95,62.01,0,485,44,33,33,67,30,60,10,56,Mindtree Ltd./Sonata Software Pvt. Ltd.
90.88,79.6,0,7.35,65.97,0,524,60,47,53,80,40,47,0,27,Blocked(Poornam)
82.24,78,0,7.63,68.84,0,536,56,27,73,67,15,47,45,82,Infosys Ltd./Techmahindra
90,80,0,7.08,63.31,0,527,53,73,20,67,50,53,0,57,Atos Syntel
95.04,80,0,6.06,53.1,2,520,53,53,40,67,35,67,0,56,Wipro Technologies Pvt. Ltd.
74,68,0,5.91,51.62,0,302,27,27,20,33,30,27,0,0,None
67,74,0,6.74,59.87,0,450,38,67,13,33,30,40,35,52,Elcamino Software Pvt Ltd
89.44,84.16,0,8.51,77.55,0,544,53,60,40,60,65,60,0,77,SLK Software
91.68,86,0,7.85,70.98,0,560,62,67,40,80,60,53,0,55,Poornam Infovision/IBM India Pvt. Ltd./Infosys Ltd.
88.8,80.66,0,7.76,70.08,0,577,60,80,60,40,60,47,65,70,Infosys Ltd./Cognizant/BankBazaar.com/Quality Kiosk/Accord
94.08,76.16,0,8.41,76.64,0,602,62,67,53,67,45,80,65,82,Accenture
85.23,71,0,7.71,69.59,0,523,56,53,40,73,25,47,10,58,Codilar Technologies Pvt. Ltd./Poornam Infovision/Qspiders
84.64,73.6,0,7.35,65.98,0,496,44,47,27,60,40,73,42,48, iWave Systems Technologies Pvt. Ltd
77.9,78.16,0,7.37,66.17,0,514,51,40,53,60,5,53,7,71,Blocked(Poornam)
74,69,0,6.25,55.02,0,455,40,27,40,53,35,33,25,70,TCS Ltd.
90,72,0,4.4,36.47,7,435,36,33,27,47,40,60,0,38,None
87,77,0,5.98,52.25,0,492,49,47,47,53,15,60,0,58,Infosys Ltd.
85,81,0,6.9,61.47,1,477,42,33,47,47,40,53,0,77,None
70.56,72.83,0,7.22,64.7,0,437,38,33,33,47,30,67,0,0,Accenture
75.2,81.33,0,6.58,58.32,0,456,40,40,27,53,50,53,0,39,TCS Ltd.
90.8,78,0,7.01,62.56,0,509,49,60,20,67,45,60,0,69,None
82.24,78.42,0,8.17,74.18,0,535,56,60,40,67,45,73,0,54,TCS Ltd.
87,70,0,7.22,64.72,0,464,42,33,53,40,25,53,0,39,None
70.04,75.5,0,8.16,74.12,0,483,44,40,40,53,45,53,9,49,TCS Ltd.
